,forrest gump,Star wars A,Star Wars B,Star Wars C,Matrix 1,Matrix 2,Matrix 3,LOTR A,LOTR B,LOTR C
forrest gump,0,0.96997,0.96672,0.9674,0.9724,1.0296,1.0095,0.97195,0.97189,0.97134
Star wars A,0.96997,0,0.8602,0.85701,0.90127,0.98431,0.96467,0.88538,0.88435,0.88635
Star Wars B,0.96672,0.8602,0,0.8434,0.92051,0.98352,0.96256,0.90606,0.88553,0.88677
Star Wars C,0.9674,0.85701,0.8434,0,0.91779,0.98397,0.96316,0.88218,0.87996,0.8825
Matrix A,0.9724,0.90127,0.92051,0.91779,0,0.90272,0.92484,0.92808,0.92797,0.92803
Matrix B,1.0296,0.98431,0.98352,0.98397,0.90272,0,0.6746,0.98911,0.98903,0.9892
Matrix C,1.0095,0.96467,0.96256,0.96316,0.92484,0.6746,0,0.96819,0.96811,0.96829
LOTR A,0.97195,0.88538,0.90606,0.88218,0.92808,0.98911,0.96819,0,0.78524,0.80838
LOTR B,0.97189,0.88435,0.88553,0.87996,0.92797,0.98903,0.96811,0.78524,0,0.8098
LOTR C,0.97134,0.88635,0.88677,0.8825,0.92803,0.9892,0.96829,0.80838,0.8098,0
